Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
AS SABINE,LIBERIANA,172 9,Long,31/01/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,5981-7 2024,587582024,B,TECON,9813802,
MAERSK RUBICON,SINGAPURENSE,250 9,Long,01/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0261-4 2025,590042024,B,B.T.P. 1,9632480,
SAN MARCO MAERSK,DINAMARQUESA,333 9,Long,01/02/2025 03:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0247-1 2025,590552024,B,TECON,9622215,
BBC ECHO,ANTIGUANA,139 7.5,Long,01/02/2025 06:00:00,,BPA AGENCIAMENTOS MARITIMOS LTDA.,DESC,CONTEINERES CHEIOS,540,0350-7 2025,32902025,B,TECONDI,9407603,
PALENA,LIBERIANA,304 9,Long,01/02/2025 11:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,0072-7 2025,5722025,B,EPORT 1/TECON 1,9306196,
SAN ANTONIO MAERSK,DINAMARQUESA,333 9,Long,02/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0249-4 2025,590422024,B,TECON,9622241,
MAERSK LA PAZ,DINAMARQUESA,300 9,Long,02/02/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0323-0 2025,589412024,B,TECON,9526899,
MAERSK LOTA,DINAMARQUESA,300 9,Long,02/02/2025 18:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0263-7 2025,589692024,B,B.T.P. 1,9526954,
HYUNDAI PARAMOUNT,LIBERIANA,255 10,Long,02/02/2025 19:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0236-0 2025,18172025,B,EPORT 1/TECON 1,9625542,
AS CASPRIA,LIBERIANA,225 9,Long,03/02/2025 10:24:00,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0229-3 2025,20812025,B,TECON,9399753,
CAP SAN TAINARO,PANAMENHA,333 9,Long,04/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0257-7 2025,589192024,B,B.T.P. 1,9633965,
HYUNDAI SUPREME,ILHAS MARSHALL,294 10,Long,05/02/2025 19:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0341-8 2025,31142025,B,EPORT 1/TECON 1,9347619,
BARTOLOMEU DIAS,BRASILEIRA,255 9,Cabo,06/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0049-5 2025,3352025,B,TECON,9625384,
NYK DIANA,PANAMENHA,294 9.9,Long,06/02/2025 11:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530,5865-7 2024,578092024,B,EPORT 1/TECON 1,9337688,
SEASPAN HARRIER,HONG KONG,330 14.5,Long,06/02/2025 11:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,5867-0 2024,578192024,B,B.T.P. 1,9793923,
MAERSK LAMANAI,DINAMARQUESA,300 9,Long,06/02/2025 20:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0259-0 2025,589472024,B,B.T.P. 1,9527051,
FERNÃO DE MAGALHÃES,BRASILEIRA,228 9,Cabo,07/02/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,0071-- 2025,4682025,B,B.T.P. / TECON,9603221,
SAN ALBERTO,LIBERIANA,186 9,Long,07/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0248-8 2025,590332024,B,TECON,9344643,
KOTA PUSAKA,HONG KONG,330 10,Long,07/02/2025 15:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0367-7 2025,35552025,B,EPORT 1/TECON 1,9793961,
BREMEN BELLE,SINGAPURENSE,281 9,Long,07/02/2025 16:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0260-8 2025,587712024,B,B.T.P. 1,9367188,
SAN NICOLAS MAERSK,DINAMARQUESA,333 9,Long,08/02/2025 03:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0245-9 2025,590612024,B,TECON,9622203,
MONTE VERDE,SINGAPURENSE,272 9,Long,09/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0251-9 2025,590162024,B,TECON,9283239,
SAN LORENZO MAERSK,DINAMARQUESA,333 9,Long,09/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0254-8 2025,590542024,B,TECON,9622227,
MAERSK LEBU,DINAMARQUESA,300 9,Long,09/02/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0244-2 2025,589532024,B,TECON,9526930,
SEASPAN OSPREY,HONG KONG,330 14.5,Long,09/02/2025 23:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,5866-3 2024,578222024,B,B.T.P. 1,9786736,
CORCOVADO,LIBERIANA,300 9,Long,10/02/2025 11:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,26298,0073-3 2025,5792025,B,B.T.P. 1,9687564,
MAERSK REDWOOD,SINGAPURENSE,200 9,Long,10/02/2025 11:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0243-6 2025,589982024,B,TECON,9943085,
VICENTE PINZÓN,BRASILEIRA,255 9,Cabo,13/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0048-9 2025,3132025,B,TECON,9625396,
MAERSK LEON (AO),DINAMARQUESA,300 9,Long,13/02/2025 20:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0256-- 2025,589582024,B,B.T.P. 1,9526966,
AS SABINE,LIBERIANA,172 9,Long,14/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0250-2 2025,587672024,B,TECON,9813802,
PL GERMANY,SINGAPURENSE,281 9,Long,14/02/2025 16:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0258-3 2025,590252024,B,B.T.P. 1,9288394,
CAP SAN ARTEMISSIO,PANAMENHA,333 9,Long,15/02/2025 03:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0253-1 2025,587752024,B,TECON,9633939,
MONTE VERDE,SINGAPURENSE,272 9,Long,15/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0252-5 2025,590202024,B,TECON,9283239,
SAN MARCO MAERSK,DINAMARQUESA,333 9,Long,16/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES VAZIOS CONTEINERES CHEIOS,100 1800,0230-1 2025,20712025,B,TECON,9622215,
MAERSK LUZ,DINAMARQUESA,300 9,Long,16/02/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0302-2 2025,589712024,B,TECON,9526904,
MAERSK LAMANAI,DINAMARQUESA,300 9,Long,16/02/2025 18:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0293-3 2025,589502024,B,B.T.P. 1,9527051,
MAERSK ACADIA,PANAMENHA,200 9,Long,17/02/2025 11:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0301-6 2025,589282024,B,TECON,9928188,
MAERSK LA PAZ,DINAMARQUESA,300 9,Long,18/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0315-7 2025,589452024,B,B.T.P. 1,9526899,
NYK DIANA,PANAMENHA,294 12.3,Long,18/02/2025 13:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,5948-0 2024,585782024,B,EPORT 1/TECON 1,9337688,
MAERSK MONTE LINZOR,SINGAPURENSE,272 9,Long,19/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0296-2 2025,589872024,B,TECON,9283186,
SAN ALBERTO,LIBERIANA,186 9,Long,21/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0298-5 2025,590362024,B,TECON,9344643,
PL GERMANY,SINGAPURENSE,281 9,Long,22/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0312-8 2025,590282024,B,B.T.P. 1,9288394,
SAN AUGUSTIN MAERSK,DINAMARQUESA,333 9,Long,22/02/2025 03:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0297-9 2025,590432024,B,TECON,9622239,
SAN NICOLAS MAERSK,DINAMARQUESA,333 9,Long,23/02/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0299-1 2025,590692024,B,TECON,9622203,
MAERSK LINS,DINAMARQUESA,300 9,Long,23/02/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0300-0 2025,589632024,B,TECON,9527025,
MAERSK LEON (AO),DINAMARQUESA,300 9,Long,23/02/2025 18:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0310-5 2025,589612024,B,B.T.P. 1,9526966,
MAERSK LEBU,DINAMARQUESA,300 9,Long,25/02/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0313-4 2025,589572024,B,B.T.P. 1,9526930,
TRAIGUEN,LIBERIANA,300 9,Long,27/02/2025 20:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0314-- 2025,11072025,B,B.T.P. 1,9627904,
MAERSK MONTE LINZOR,SINGAPURENSE,272 9,Long,01/03/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0321-7 2025,27452025,B,TECON,9283186,
