Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75334,34842025.0,204,HONG DAI,9563603,22500,"76.557,00",Exp,CARGONAVE,CEU AZUL,SOJA,26/01/2025 20:00,,,"63.000,000 Tons.",588,1310,,,,
75320,,211,FRIENDSHIP DIVA,1016111,22900,8198,Imp,CARGONAVE,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,SULFATO DE AMONIO,26/01/2025 19:00,,,"68.000,000 Tons.",1163,710,,,,
75343,26312025.0,215,AS CAROLINA,9314935,22215,"39.155,00",Imp/Exp,ZIM DO BRASIL,TCP (ZGT),CONTÊINERES (CONTENTORES) INCL,26/01/2025 15:00,,,350 Movs.,820,1020,,,,
75335,34212025.0,143,PIS KALIMANTAN,9692143,18300,"49.579,00",Imp,FERTIMPORT,CATTALINI,OUTROS OLEOS DE PALMISTE,26/01/2025 10:00,,,"6.000,000 Tons.",1270,1185,,,,
75379,,213,IONIC KIZUNA,9582532,22900,"81.868,00",Exp,ALPHAMAR,ALPHAMAR PORT SERVICES,SOJA,26/01/2025 09:00,,,"60.000,000 Tons.",450,1280,,,,
75243,2332025.0,216,SEATTLE C,9360910,26005,"50.813,00",Imp/Exp,UNIMAR,TCP (LXS),CONTÊINERES (CONTENTORES) INCL,26/01/2025 07:00,,,500 Movs.,1000,1000,,,,
75313,,213,ALBATROSS,9937256,22899,"82.411,00",Exp,WILLIAMS,TIBAGI,SOJA,25/01/2025 23:00,,,"68.850,000 Tons.",600,1000,,,,
75263,13712025.0,212,YANNIS GORGIAS,9423293,22900,"87.375,00",Exp,CARGONAVE,CARGONAVE,MILHO,25/01/2025 20:00,,,"60.000,000 Tons.",588,1200,,,,
75374,,143,ARDMORE SEAFOX,9708215,18300,5000,Exp,CARGONAVE,CATTALINI,OLEO DE SOJA,25/01/2025 20:00,,,"11.071,000 Tons.",588,1310,,,,
75349,24562025.0,143,HAFNIA TOURMALINE,9753698,18290,"49.513,00",Exp,CARGONAVE,CATTALINI,OLEO DE SOJA,25/01/2025 20:00,,,"20.000,000 Tons.",700,1310,,,,
75372,29702025.0,216,ESL NHAVA SHEVA,9535199,27500,"73.083,00",Imp/Exp,UNIMAR,TCP (ESA),CONTÊINERES (CONTENTORES) INCL,25/01/2025 17:00,,,650 Movs.,1030,1100,,,,
75338,22892025.0,213,NEW HORIZON,9290701,22500,"77.834,00",Exp,CARGONAVE,CARGONAVE,MILHO,25/01/2025 17:00,,,"70.000,000 Tons.",700,1310,,,,
75225,,202,SAGA FLORA,9502348,19990,"55.807,00",Exp,MARCON,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASTA QUIM.MADEIRA DE N/CONIF.,25/01/2025 13:00,,,"16.000,000 Tons.",960,1230,,,,
75284,11662025.0,216,ENSENADA,9247546,27894,"67.170,00",Imp/Exp,UNIMAR,TCP (NBR),CONTÊINERES (CONTENTORES) INCL,25/01/2025 11:00,,,500 Movs.,1050,1050,,,,
74832,505752024.0,218,XIAMEN EXPRESS,9630420,33600,"119.397,50",Imp/Exp,ROCHAMAR,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,25/01/2025 08:00,,,1.050 Movs.,1200,1000,,,,
75312,15052025.0,208,FEDERAL ST LAURENT,9838462,19998,"34.492,00",Imp,ROCHAMAR,HARBOR,DAP - Fosfato Diamonico,25/01/2025 08:00,,,"14.999,000 Tons.",850,700,,,,
75312,15052025.0,208,FEDERAL ST LAURENT,9838462,19998,"34.492,00",Imp,ROCHAMAR,HARBOR,FERTILIZ.MINER.QUIM.C/NITROGEN,25/01/2025 08:00,,,"14.999,000 Tons.",850,700,,,,
75132,,144,HUEMUL,9371775,16112,"22.062,00",Imp,ROCHAMAR,CATTALINI,METILATO DE SODIO,24/01/2025 21:00,,,"1.800,000 Tons.",800,650,,,,
75132,,144,HUEMUL,9371775,16112,"22.062,00",Imp,ROCHAMAR,CATTALINI,METANOL,24/01/2025 21:00,,,"7.324,000 Tons.",800,650,,,,
75321,17322025.0,143,SEAWAYS GALLE,9327451,18388,"47.782,00",Exp,CARGONAVE,CATTALINI,OLEO DE SOJA,24/01/2025 20:00,,,"12.000,000 Tons.",1000,1200,,,,
75293,15592025.0,213,BLUE IONIAN,9381184,22494,"76.596,00",Exp,CARGONAVE,CARGONAVE,SOJA,24/01/2025 19:00,,,"63.000,000 Tons.",710,1310,,,,
75084,558872024.0,215,CAPE PIONEER,9719874,27090,"79.256,00",Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,24/01/2025 19:00,,,1.050 Movs.,1200,1200,,,,
75384,33382025.0,216,SEASPAN HARRIER,9793923,33000,"136.945,00",Imp/Exp,WILSON SONS,TCP (IPS),CONTÊINERES (CONTENTORES) INCL,24/01/2025 16:00,,,500 Movs.,1010,1100,,,,
