Chegada,Sentido,local,Mercadoria,Peso
29/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
29/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
29/01/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
29/01/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
29/01/2025 12:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
29/01/2025 17:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
30/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8865.0
30/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,2448.0
30/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600.0
30/01/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
30/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,6300.0
30/01/2025 12:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
31/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,6300.0
31/01/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
01/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
01/02/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
01/02/2025 06:00:00,Exp,santos,CONTEINERES CHEIOS,540.0
01/02/2025 11:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8460.0
02/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
02/02/2025 14:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
02/02/2025 18:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
02/02/2025 19:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
03/02/2025 10:24:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
04/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
05/02/2025 19:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
06/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
06/02/2025 11:00:00,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530.0
06/02/2025 11:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
06/02/2025 20:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
07/02/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600.0
07/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
07/02/2025 15:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
07/02/2025 16:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
08/02/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
09/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
09/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
09/02/2025 14:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
09/02/2025 23:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
10/02/2025 11:00:00,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,26298.0
10/02/2025 11:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
13/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
13/02/2025 20:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
14/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
14/02/2025 16:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
15/02/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
15/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
16/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES VAZIOS CONTEINERES CHEIOS,950.0
16/02/2025 14:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
16/02/2025 18:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
17/02/2025 11:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
18/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
18/02/2025 13:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
19/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
